 54101 function calls (53641 primitive calls) in 0.364 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.017    0.000 concat.py:209(is_na)
       88    0.001    0.000    0.074    0.001 concat.py:231(get_reindexed_values)
       76    0.001    0.000    0.001    0.000 concat.py:24(_get_dtype_kinds)
       48    0.000    0.000    0.118    0.002 concat.py:303(_concatenate_join_units)
       17    0.001    0.000    0.101    0.006 concat.py:306(__init__)
       48    0.000    0.000    0.074    0.002 concat.py:313(<listcomp>)
      120    0.000    0.000    0.000    0.000 concat.py:329(<genexpr>)
       48    0.000    0.000    0.006    0.000 concat.py:348(_get_empty_dtype_and_na)
       14    0.000    0.000    0.013    0.001 concat.py:349(_concat_datetime)
       17    0.018    0.001    0.216    0.013 concat.py:35(concatenate_block_managers)
       14    0.000    0.000    0.002    0.000 concat.py:363(<listcomp>)
       14    0.000    0.000    0.000    0.000 concat.py:365(<setcomp>)
       14    0.000    0.000    0.000    0.000 concat.py:375(<listcomp>)
       17    0.000    0.000    0.000    0.000 concat.py:390(<listcomp>)
       48    0.000    0.000    0.004    0.000 concat.py:425(_get_upcast_classes)
       88    0.001    0.000    0.004    0.000 concat.py:451(_select_upcast_cls_from_dtype)
       17    0.000    0.000    0.218    0.013 concat.py:469(get_result)
       84    0.000    0.000    0.018    0.000 concat.py:476(_is_uniform_join_units)
      244    0.000    0.000    0.000    0.000 concat.py:487(<genexpr>)
      244    0.001    0.000    0.017    0.000 concat.py:491(<genexpr>)
      204    0.000    0.000    0.000    0.000 concat.py:494(<genexpr>)
       48    0.000    0.000    0.000    0.000 concat.py:501(_is_uniform_reindex)
       96    0.000    0.000    0.000    0.000 concat.py:504(<genexpr>)
       17    0.000    0.000    0.003    0.000 concat.py:52(<listcomp>)
       17    0.000    0.000    0.000    0.000 concat.py:529(_get_result_dim)
       17    0.000    0.000    0.003    0.000 concat.py:535(_get_new_axes)
      109    0.001    0.000    0.001    0.000 concat.py:536(_combine_concat_plans)
       17    0.000    0.000    0.003    0.000 concat.py:537(<listcomp>)
       17    0.000    0.000    0.002    0.000 concat.py:542(_get_comb_axis)
       17    0.000    0.000    0.001    0.000 concat.py:552(_get_concat_axis)
      180    0.000    0.000    0.000    0.000 concat.py:561(_next_or_none)
       17    0.000    0.000    0.000    0.000 concat.py:585(<listcomp>)
       48    0.000    0.000    0.000    0.000 concat.py:588(<genexpr>)
       36    0.000    0.000    0.000    0.000 concat.py:70(<listcomp>)
       17    0.000    0.000    0.319    0.019 concat.py:82(concat)
       31    0.001    0.000    0.003    0.000 concat.py:92(_get_mgr_concatenation_plan)
       88    0.000    0.000    0.000    0.000 construction.py:354(extract_array)
       28    0.000    0.000    0.002    0.000 construction.py:405(ensure_wrapped_if_datetimelike)
       28    0.000    0.000    0.000    0.000 datetimelike.py:1752(validate_inferred_freq)
       28    0.000    0.000    0.000    0.000 datetimelike.py:1787(maybe_infer_freq)
       42    0.000    0.000    0.000    0.000 datetimelike.py:205(_ndarray)
       14    0.000    0.000    0.000    0.000 datetimelike.py:209(_from_backing_data)
       14    0.000    0.000    0.010    0.001 datetimelike.py:386(_concat_same_type)
       28    0.000    0.000    0.002    0.000 datetimes.py:1891(sequence_to_dt64ns)
       28    0.000    0.000    0.001    0.000 datetimes.py:2116(maybe_convert_dtype)
       28    0.000    0.000    0.000    0.000 datetimes.py:2209(_validate_dt64_dtype)
       56    0.000    0.000    0.000    0.000 datetimes.py:2251(validate_tz_from_dtype)
       42    0.000    0.000    0.000    0.000 datetimes.py:290(_simple_new)
       28    0.000    0.000    0.002    0.000 datetimes.py:305(_from_sequence)
       28    0.000    0.000    0.002    0.000 datetimes.py:309(_from_sequence_not_strict)
      154    0.000    0.000    0.000    0.000 datetimes.py:487(dtype)
       28    0.000    0.000    0.000    0.000 datetimes.py:61(tz_to_dtype)
      177    0.000    0.000    0.001    0.000 dtypes.py:1132(is_dtype)
      219    0.000    0.000    0.001    0.000 dtypes.py:923(is_dtype)
       17    0.000    0.000    0.000    0.000 flags.py:47(__init__)
       48    0.000    0.000    0.000    0.000 flags.py:51(allows_duplicate_labels)
       34    0.000    0.000    0.000    0.000 flags.py:83(allows_duplicate_labels)
       17    0.000    0.000    0.000    0.000 frame.py:482(_constructor)
       17    0.000    0.000    0.000    0.000 frame.py:502(__init__)
       62    0.000    0.000    0.000    0.000 frame.py:628(axes)
       34    0.000    0.000    0.000    0.000 frame.py:645(shape)
       17    0.000    0.000    0.320    0.019 frame.py:7849(append)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:1000(_argsort_dispatcher)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:1004(argsort)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:52(_wrapfunc)
       17    0.000    0.000    0.000    0.000 frozen.py:66(__getitem__)
       17    0.000    0.000    0.000    0.000 generic.py:188(__init__)
       17    0.000    0.000    0.000    0.000 generic.py:227(attrs)
       82    0.000    0.000    0.000    0.000 generic.py:248(flags)
     3942    0.002    0.000    0.002    0.000 generic.py:30(_check)
       14    0.000    0.000    0.000    0.000 generic.py:3485(_clear_item_cache)
       82    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
       31    0.000    0.000    0.000    0.000 generic.py:470(_get_axis)
       34    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
       34    0.000    0.000    0.000    0.000 generic.py:5411(__finalize__)
       48    0.000    0.000    0.000    0.000 generic.py:5442(<genexpr>)
       34    0.016    0.000    0.016    0.000 generic.py:5467(__setattr__)
       34    0.000    0.000    0.096    0.003 generic.py:5522(_protect_consolidate)
       34    0.000    0.000    0.096    0.003 generic.py:5534(_consolidate_inplace)
       34    0.000    0.000    0.096    0.003 generic.py:5538(f)
       68    0.000    0.000    0.000    0.000 generic.py:569(ndim)
       51    0.000    0.000    0.000    0.000 inference.py:322(is_hashable)
       31    0.000    0.000    0.001    0.000 managers.py:126(__init__)
       31    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
       31    0.000    0.000    0.001    0.000 managers.py:157(blknos)
       31    0.000    0.000    0.000    0.000 managers.py:173(blklocs)
       14    0.000    0.000    0.078    0.006 managers.py:1906(_consolidate)
      152    0.000    0.000    0.002    0.000 managers.py:1911(<lambda>)
       56    0.043    0.001    0.076    0.001 managers.py:1923(_merge_blocks)
       20    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
       20    0.000    0.000    0.000    0.000 managers.py:1939(<listcomp>)
